movie_index,genres,keywords,production_year,title,director,writer,actors
0,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,2009,avatar,jamescameron,jamescameron,"samworthington,zoesaldana,sigourneyweaver,stephenlang"
1,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,2007,pirates of the caribbean: at world's end,goreverbinski,"tedelliott,terryrossio,tedelliott ,terryrossio ,stuartbeattie ,jaywolpert ","johnnydepp,geoffreyrush,orlandobloom,keiraknightley"
2,Action Adventure Crime,spy based on novel secret agent sequel mi6,2015,spectre,sammendes,"johnlogan ,nealpurvis ,robertwade ,jezbutterworth ,johnlogan ,nealpurvis ,robertwade ,ianfleming(basedoncharacterscreatedby)","danielcraig,christophwaltz,lã©aseydoux,ralphfiennes"
3,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,2012,the dark knight rises,christophernolan,"jonathannolan ,christophernolan ,christophernolan ,davids.goyer ,bobkane ","christianbale,garyoldman,tomhardy,josephgordon-levitt"
4,Action Adventure Science Fiction,based on novel mars medallion space travel princess,2012,john carter,andrewstanton,"andrewstanton ,markandrews ,michaelchabon ,edgarriceburroughs(basedonthestory""aprincessofmars""by)","taylorkitsch,lynncollins,samanthamorton,willemdafoe"
5,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,2007,spider-man 3,samraimi,"samraimi ,ivanraimi ,alvinsargent ,samraimi ,ivanraimi ,stanlee ,steveditko ","tobeymaguire,kirstendunst,jamesfranco,thomashadenchurch"
6,Animation Family,hostage magic horse fairy tale musical,2010,tangled,"nathangreno,byronhoward","danfogelman ,jacobgrimm ,wilhelmgrimm ","mandymoore,zacharylevi,donnamurphy,ronperlman"
7,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,2015,avengers: age of ultron,josswhedon,"josswhedon,stanlee ,jackkirby ,joesimon ,jackkirby ,jimstarlin ","robertdowneyjr.,chrishemsworth,markruffalo,chrisevans"
8,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,2009,harry potter and the half-blood prince,davidyates,"stevekloves ,j.k.rowling ","danielradcliffe,michaelgambon,davelegeno,elaricajohnson"
9,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,2016,batman v superman: dawn of justice,zacksnyder,"christerrio,davids.goyer,bobkane ,billfinger ,jerrysiegel ,joeshuster ,williammoultonmarston ","benaffleck,henrycavill,amyadams,jesseeisenberg"
10,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,2006,superman returns,bryansinger,"michaeldougherty ,danharris ,bryansinger ,michaeldougherty ,danharris ,jerrysiegel ,joeshuster ","brandonrouth,katebosworth,kevinspacey,jamesmarsden"
11,Adventure Action Thriller Crime,killing undercover secret agent british secret service,2008,quantum of solace,marcforster,"paulhaggis,nealpurvis,robertwade","danielcraig,olgakurylenko,mathieuamalric,judidench"
12,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,2006,pirates of the caribbean: dead man's chest,goreverbinski,"tedelliott,terryrossio,tedelliott ,terryrossio ,stuartbeattie ,jaywolpert ","johnnydepp,orlandobloom,keiraknightley,jackdavenport"
13,Action Adventure Western,texas horse survivor texas ranger partner,2013,the lone ranger,goreverbinski,"justinhaythe ,tedelliott ,terryrossio ,tedelliott ,terryrossio ,justinhaythe ","johnnydepp,armiehammer,williamfichtner,tomwilkinson"
